id,popularity,followers.total
7wHbsRbx23UPiHo7sNoXEb,44,29696
1JKi8bgGusWeaksjh6dIGt,21,1611
5UNBszdCrAn5pZtfDIaxTF,10,1371
3BmGtnKgCSGYIUhmivXKWX,79,8458817
1dkyORGHN0TOmjzu5qCO45,58,13918
3o8cYRPXjcJdRkuYslLcPr,2,26
1rzzFDbfNWDLs2zoSQp6Ax,50,162
6Pl16MvGoQD68PCB0eohfS,0,0
6YomcUxZXNftP5OyuHoVmB,50,293675
1OP8dhKdvHHsYDa4Y84Hsa,18,1738
2XnnxQzxFZG8qEPjakokPM,64,726728
7MDXSvabwm6zL7mUXKqH6L,31,9643
4RYoBxyPaZ38vhthqblODo,33,471
2Yd6uf3Em3hShLFlEJaG0c,33,6715
66t9jFMMHlihDiM2urzKHs,46,3285
78nztsi4HAAFFJsaicsiZ5,38,4714
4ftTu2dqHqs1dJohKnCgtw,20,3147
6JLGEFnVJdNtYCmc4bIf4Z,29,433
2PLc9oGxQPo2OXLtFUdyF7,22,1466
3ig2VUIx4L0P3Gf4yowXQQ,8,81
35CFI6iSFTyM0scQKBu8eE,56,15064
5AQpcBCqfE0mHDM4dh02mf,49,1425
3qMyym6ov558YgVuOOscEm,42,21893
1i3LAyYIXtdsYVUkIgIkjx,39,10076
1O4AnKY2Rp3ZNM5EmUqJrd,44,3080
6FGZPlL2dhssxgQlpb7I7W,35,7505
3loTvAld5Tpk5aSNbboGpj,63,37224
2Ns3GuAU2LYllDr7z20d0e,62,3753
01GDk8XueTrPk5iEWQ1rVJ,17,1584
76opBXONSKD8khOtg0rTsq,9,18
0fJJXAAxGeDwdS7HCUVkbs,50,1971
3dk6yjXJcZnsVZzlWHSWoi,25,331179
7Dw6fBcDUSorbHGdg1gsub,34,212002
4qb81y9DFygggMTArjhQMn,41,185389
0Wn7tfH4rhaWTn8aMqSgh6,57,86168
4bDcCV0zjPsVs2GxtduYry,54,50896
2A9vYvDOaSdZIhUUadhAxh,14,104
79hrYiudVcFyyxyJW0ipTy,69,549568
25UyYNRbWzdHYxRS7YytI0,9,302
3Y1ebLFUM2kY39EEKr0UNZ,20,162
2nZ18B9RTjJH56v2NTnNAI,52,54950
64ywHynl1UIFcpwJP0f1yF,28,1231
1Q18jVl6V126YyyiMPT2cW,10,37
3TozxPbDes76aGFdfv7PMv,65,1055639
4vMPvxFb0j16yjLxCQKNR8,42,837
3gfyTQrleXJhfCqXKTHIYG,0,0
4rDHFzWm73XRkWeqyqjvnq,8,296
5vvRhOFCqRb0u17DEjtx60,30,4233
6exBFuevXZvHrbP3oKtfWe,59,40158
2ae6PxICSOZHvjqiCcgon8,75,3067907
0dS5xeDefwoUNasLUHnCjR,60,118693
5DjOFRgriIqkevnxGp0X82,10,230
6gABJRqeRV4XW6T8vP9QEn,46,23255
6XQrv3AiNUS61JFK1VITTU,59,56395
6IP4VnqS1pOiQcPVP4zx0H,66,396595
0Ahhu6Pl3MroWHduzMpMTK,22,41
1wkImvL5XLLhrNcmX7sVt4,62,347626
6K2UrKcl0B8oxLrZUl4DA4,33,1677
15GgEOJiFyjQm4tZ4D7qih,52,57172
5y2Xq6xcjJb2jVM54GHK3t,82,6094085
4wIMqGM5IPTDNFLUGxvWkK,46,113703
23ymSZAssJK1PU0VwRkmcU,27,28685
04mTej6RpWzBxGwhfThpIi,68,136034
3C4t1usFGoKHCSRdujm2GN,52,72935
41MjofI90Kir16yYwVzEBm,0,5700
2fpbR8VQWHUivTaeLTR5MJ,50,272331
7w79n5kCkTEaewxNBynvhM,45,95958
1U8lN2i4lHmZqDerkVNKWk,43,11081
0XpNiF9v1QPnRWKKGoffQf,47,43189
4W3fa7tiXGVXl3KilbACqt,67,228678
0kPA7qoAAkI8id1ARXhh5n,51,42193
63OfL4OpyfSCeG3yzetxlL,32,31
4KxiRFii3KiCTuIiv0RG0W,0,3
08VvDNRmZUZ99QZb63qXgU,22,744
5MibVKlWvof8lLAkOaaDmi,32,76982
2rR0cafJvL0JVTC8E2qIqt,48,25552
6kvvDgFMvd02LlVlGX55GN,49,1837
6a2V6IHS7jT9M1IvJ8V3yB,50,45191
4U1hl9bY2xazNNeiU42obk,34,13896
2W6kbe0nm96COrHzNmfLLd,60,1467606
4tejKImNVmDcORNBuZ1l14,63,152243
1hXwayeVBxuNZh1H31ZLMt,41,4550
6kHqXdtT1ojaXisSUA4mby,45,73973
5W10uJRsbt9bROJDKoI1Wn,61,300184
4pBZPaKdm0u7Joe6oAea6V,59,97089
3ZfVp9mvvJt4Zly7lxgcaR,40,9859
0RWwdL3Bsg5hKwOXsnD71v,3,1110
4yGgbQJMq9orWypwqtdzYT,64,13633
7z8b1bQhJLtJYr3xd9jTsK,48,47077
3NyLd7TMJzuOzLL19ZtbOJ,36,315
2nvb7E4RLPQVXoUPRaHLuJ,46,148
3BLNVaGlaxbmbw0v5mIzec,19,2
0i3aiTo9KQY0hvNME4VHuh,43,1779
6O2zJ0tId7g07yzHtX0yap,70,1514709
23buF7CmOZll8oQveAvsut,69,131
0yApzRdrUqTGqX9MULdnmV,48,29315
4dwdTW1Lfiq0cM8nBAqIIz,73,3309730
75rGqL3TjFVoS5lTucbE6h,15,12
1UNm54Ts7vBGKcWjbjEmMw,60,1003138
56chSp36PsMhpQvUn1kdR3,54,451855
0FRJ4d8qzn0TmKLZHc9etX,29,3035
2VKlXKHIyGgF3TU5aoZ24m,40,208
6LWFFGHXtC7e1HOWt585xk,50,70244
