id,artist_id,artist_popularity,artist_followers_total,main_artist
6zueMZGDJW6r26cG6zlnft,1WLEfsQjvgtFSGkrHonzFX,60,260670,Amaia
0stPNUkU1LZnvxIcfrKnEZ,3ipn9JLAPI5GUEo4y4jcoi,80,2321539,Ludacris
4HjkaUTOYnOI28nMf3qxqN,7EJcUkbBsR4kN822bEa0ZS,52,37490,Jamaika
7FFfYM4JE1vj5n4rhHxg8q,06HL4z0CvFAxyc27GXpf02,98,49081334,Taylor Swift
5ZVoLA2YyuhP4JUUM3q72J,2DEfqyWjAMIfKYMXb1V8L1,47,58349,Nenny
1tTV7mRV9uB2Nr9VcwkuFX,0Ya43ZKWHTKkAbkoJJkwIB,73,966324,The Wombats
19PRSH44tTAZ0aKBwyHKyp,5PQVAGtwANqHreEKQJthOU,58,71423,negatiiv OG
1I7WPxkyLpvlYwL2uXEdYD,35YkpX0zYwHG8vOIhObvxP,61,3120067,Mano Walter
2BfKavPHWOj80JnskZIJGu,6V1SwiosQqf5XvmoTMCGa9,58,131883,Dear Jane
24T6bAxTxQ4AoYJ3GslkjB,0Y2zzjMum7MSOCvI0GNbv5,47,31535,OG Version
75U7elb5ASEcLfjuVEf1q2,5ZYOlPpI9FZu2uIPkTB0UA,62,168310,CÉLINE
2Fke914SKZzcTznIpHfqWW,17cQawMg0m4Z5VCzkIMI1i,42,2698,Dee Gomes
2YfmCkG1uJxbduwSWxV9QV,0EqkKYDK9EkKY5N7zU3FPv,62,863891,Annalisa
3M5rbwyOMpjb3Ge277ILVT,1vgQksyJ0IVz8y9XerEOy3,72,411227,Madame
1wamsK57rPKD25YvEgfoRW,5XJDexmWFLWOkjOEjOVX3e,86,1055632,Eladio Carrion
5Cd2iyC2kzpmfhDT5DlfGJ,3cI6oSkDCirRNVAgBsGJyB,44,20138,No Money Enterprise
2Wcgaqmt7jbs0EfTSnfCzf,0h1zs4CTlU9D2QtgPxptUD,80,8143028,Ricardo Arjona
41G8Erys8j0Ijux3HAJ9mp,5qwjinowvQNDqyspseSofL,50,4843,CHAAMA
23MBpKcMc36cy26jjehN5A,3O6DpqAKwn7L1KS9s9x0w5,47,11906,GAMMAL
19PeSMZDNa5O9JdY46MnM8,3xEJ7cDz5rdg6VM8E6Mqhf,68,534775,DA Uzi
3qCaksTVAQBhKCK6GUEBDc,396Jr76018oUMR6QBnqT8T,67,848361,Cesare Cremonini
6rqktlVnlrAOQBL4MYzTAf,2Dor6diK1zw9BEluKBOdoA,69,15885,23
6Z8Rgali179zMtmELIgSx2,0jdNdfi4vAuVi7a6cPDFBM,70,722869,Lazza
6wSwnfkkP61n6Qj1qkFB0B,1UUQq3z2RCIqSE1eiP00Jv,44,14085,Marso
6XK6Zw6JkFsHXzAcMWNiIr,2M3vnW1p5w4uPRkLYTbvdB,60,160486,Rusted Root
5sWeVXwpdXhS88GbbQNxnI,2u8P7EawurNYoIzRtr5Knk,58,405056,Norlie & KKV
2bgAofTwQQNWG0YYnSFBWa,0wsyH77P84cqFUXgg8xclz,0,300,Los Chiquiltines
3hixvE13gWRfv4Na7Ba0L7,7o4wZjVHHWe4gw4oenPmcK,36,4502,Evgenya Redko
3klG6fu28FrU9nNcBNX1lv,6sBSLIunx1Je0Y2T77wpkP,73,179145,Motive
6HguG9HRb1Ke1bhihfE4m8,3mIj9lX2MWuHmhNCA7LSCW,79,5366163,The 1975
10oDxl0uCk8wcdXmQHHrjr,6eUAVH8tSq8WSJGPLeDN9c,60,260179,Américo
3JsGOIuR8t2LNEXBg7YMzA,7EJB9F3fv0x2ezht730D7F,51,357527,Burcu Güneş
6R4eEk2hN8OUQDDQdG404S,7ClSHMB7VFSKtsNNuS6x8u,35,36183,Oro Bianco
1TPUbLdzpfgF7wrPEXIAAB,7qG3b048QCHVRO5Pv1T5lw,80,10590862,Enrique Iglesias
4kKIS1cOrGnd4ZMOA4SryO,1DgBVE3lCnC7Osg9zpAt6N,48,56343,Charmaine Fong
2xYpEh4RtRcHOK5XOG7XQz,0b1sIQumIAsNbqAoIClSpy,69,8975030,j-hope
3GaGWoU1KfVqgl7vnRHP55,5TYxZTjIPqKM8K8NuP9woO,80,1771478,C. Tangana
7tpSm5lHGDi022McyTdUqa,487N2T9nIPEHrlTZLL3SQs,82,15735975,Zé Neto & Cristiano
5WMsdfplLLGuHfXrmawWa2,5f6nz3iqzrfiUfKOIKvLvd,61,95881,Nemir
7mrxKs2fqNiKBE8zePEP2l,5eA2wbwYcQ2iOJ3uc8byIh,47,423308,Dizzy DROS
7HCZWKJmHITV7Pt5YTQDcL,5dbaLmK5SHLLg8Z4CcTJpX,75,4819415,Greeicy
4jG6jXttqImi4laIcjb9bF,3pgCLfNbw5ozIfoNsvDU7i,71,1742471,Fedez
0lIBp6lovie7jxCKxHQGXL,384MAG8fZLUBFQoO2KgDVG,40,11345,KIRA
7wvYQ5P2URB7j1gMgARAI9,1qLRa9jjpAzxs3NPglKHBK,30,40661,محمود معتمد
0VJXYUuvJAg4NdZJbemhJY,78rEst9B8h5utylmzIoUgb,50,8303,Samuel Jack
27zBkh3miD8jpahuq80rzU,56YVuvd8KTqXfTcqT6n7iW,37,9543,Sheen & Jickson
