region,id,min_date,max_date,n_days
Chile,3ZGLzkuKPU2ngeicx6LqOb,2017-08-18,2018-06-07,287
Norway,1PDP7mLiAMwhfmgIwzhOm2,2021-09-03,2021-09-07,5
Czech Republic,0BGwAKW4u8kWOhWFflZxfl,2021-05-28,2021-09-09,104
Bolivia,5J7teKIJGtqVypgYI6sqXj,2020-02-29,2022-02-11,155
Ireland,0yRI3jUKdlkbivX5fImzMY,2021-03-19,2021-03-29,11
Denmark,7lzxcRigkrgOrPeYaRyHVV,2018-04-20,2018-06-18,60
Norway,7B3z0ySL9Rr0XvZEAjWZzM,2020-10-11,2020-11-25,42
France,3en8r3KYECOz81PC3cymsx,2017-12-06,2017-12-25,3
Iceland,5SleX0NFeODNY7Xenal3gr,2017-10-13,2017-10-16,4
Italy,67vjEOTkBppbVLUUq5mEJz,2019-04-12,2020-05-15,333
Costa Rica,15dnkAHcHC0vrIUlbiPiqU,2017-06-23,2017-06-26,3
Greece,0eeeyCAGnGZInPtpkdYiPa,2019-04-12,2019-04-21,10
Dominican Republic,4btFHqumCO31GksfuBLLv3,2021-10-29,2021-10-29,1
France,5aTIqsUQ6EZ2lpmsQop8dq,2020-11-27,2020-12-26,22
South Africa,3BMG9dnjNymT1OGUXQTAXl,2022-02-08,2022-02-11,4
Malaysia,4lD7gHKF1e8Y9stQuVezZB,2019-02-08,2019-02-27,20
Italy,39XG4fTadjyZtPYybMqvZA,2020-07-16,2020-07-27,12
Denmark,3cqPu20DGTGUoZtbJH2Dmi,2020-01-24,2020-06-07,111
Hungary,6wQlQrTY5mVS8EGaFZVwVF,2020-08-07,2020-12-02,106
Hungary,5ffwnb6hqsKZp8cG6q90OW,2017-07-14,2017-07-14,1
Finland,0XfOi87h82i09rQjWYG0Bm,2017-06-16,2018-06-23,111
Australia,0qXP5fMhxGzxALOkXYUxfP,2021-08-28,2021-09-15,8
El Salvador,5lkpeJwmQKgY3bX2zChjxX,2021-10-15,2021-11-24,13
Ecuador,6TNuRFdNazLbbVQTRE8pZg,2020-03-06,2020-03-06,1
United States,3AQrryq4mc956K3RtLZAFo,2020-05-22,2020-05-23,2
Global,2cYnZNzFRFK0H7vSNxPsUq,2018-11-03,2019-03-03,121
France,6RXHipTclQenO0vKFeGZYi,2021-12-10,2022-02-11,64
Denmark,543bCW2ruMPmxUBWirQ3MR,2019-05-24,2019-07-11,49
Viet Nam,6ZEYvUSgON3J5Qe1RYi3Jo,2019-06-07,2019-06-07,1
France,3iLcfPepO3XiWUuu1zwqsW,2019-06-14,2019-07-14,31
Honduras,2vJyNEy7aNXMZomvzn5bJo,2021-12-13,2021-12-13,1
United States,1vrd6UOGamcKNGnSHJQlSt,2017-06-09,2017-06-10,2
United States,2dHoVW9AxJVSRebPRyV2aA,2021-03-12,2021-03-13,2
Austria,3jQvH2VoTRe5CEnIS0MnCE,2022-01-07,2022-01-07,1
Hungary,5Ber68jZ7ytegr2UISEdb7,2017-12-03,2021-12-26,130
Global,4fzyvSu73BhGvi96p2zwjL,2017-12-02,2021-12-26,90
Spain,37MfAPsXklCn9JvUboIePO,2017-12-12,2017-12-13,2
Finland,4ol8OJNuATyQkn67RlUCRE,2020-10-10,2020-12-05,56
Slovakia,5fbHRCsGpFIOLRtlhCRFDR,2021-06-25,2021-06-28,4
Poland,5c4tB0saSkNHX5CyDosuF7,2017-05-01,2017-06-04,32
Ecuador,0HMjXBAZmSYOTTi33WpMso,2020-07-23,2020-07-23,1
El Salvador,4jcxBTrNvyqMJdMDyyjdYV,2020-11-14,2022-01-29,333
Japan,1LwSnnsoKcAUv9TPFEZ7iQ,2021-01-16,2021-06-29,161
United Arab Emirates,0bZFa5DZcx9HWx25m2Nd19,2020-12-04,2020-12-04,1
Bolivia,0nbXyq5TXYPCO7pr3N8S4I,2020-01-11,2020-07-10,182
United Kingdom,0DC7Zs2qvAbNK1owWQ4mlL,2018-11-15,2019-02-28,105
Slovakia,1USJRpWDFhxwhCajPXBeel,2018-02-16,2018-03-19,32
Hong Kong,1fipvP2zmef6vN2IwXfJhY,2020-04-17,2020-06-11,56
El Salvador,0PabDDMMzwmn9cfJsfes7W,2019-10-25,2020-02-08,101
Japan,465JzFiajJO59sUrDFsxdC,2021-01-06,2022-02-11,402
Romania,4zSPn9Xo0hOZHZz4JPjVMh,2021-03-06,2021-03-07,2
Czech Republic,2Xqd0wUttjueBfdcltADOv,2017-09-08,2017-12-14,44
Uruguay,55CHeLEfn5iJ0IIkgaa4si,2020-04-10,2020-04-29,16
Brazil,2NqnAaUTmSl7JqYysspvfl,2020-09-28,2020-10-01,4
Egypt,4Yu4metYJ0oBkIux84zkmq,2020-09-22,2020-10-29,28
France,3qbcEoXA5OvwDffHxagalz,2020-12-11,2021-01-21,37
Slovakia,0GxQ1A5L9xnMOytbP6eKBG,2018-09-24,2018-11-06,12
Hungary,47BBI51FKFwOMlIiX6m8ya,2018-06-02,2019-06-30,52
Czech Republic,1sOW4PuG5X3Ie3EXUhAopJ,2020-03-20,2020-03-24,5
Slovakia,1fkLTwlUDFjJPHaEjyzwtb,2020-06-18,2020-07-09,22
Brazil,5yaXBGNko8lmFSOvKWo99j,2020-06-04,2021-03-14,280
Switzerland,6vsaj9lO1gyNjRmfIz0CTj,2019-06-07,2019-06-20,14
Egypt,3p6hnejEQYXkiTO1lAzVc0,2020-11-20,2021-05-28,2
Japan,29VVYrV5TVpGu0IfoTXlcw,2021-04-15,2021-04-30,16
Honduras,2JvzF1RMd7lE3KmFlsyZD8,2019-01-25,2019-02-02,8
Guatemala,72Q0FQQo32KJloivv5xge2,2017-05-01,2017-06-04,32
Chile,3GCLIIJdXvcKfmJlICkTVL,2019-05-24,2019-06-10,17
Japan,7ByyGz6asmKPgzBKNm9H5e,2019-10-19,2019-10-19,1
Indonesia,4E5IBDRu8kJbzUv1qaZM1t,2018-06-26,2018-06-28,3
Ukraine,1I4BDL43F2FqCYkzkBRTQz,2020-11-06,2020-12-22,36
Germany,5zSjvI2dRCXENacMKKu0eU,2018-06-29,2018-08-09,42
Indonesia,3bH4HzoZZFq8UpZmI2AMgV,2018-05-11,2018-07-18,63
Thailand,5jXmAtIaOBP3Z9dtu5TNq7,2020-01-10,2020-02-09,31
Hong Kong,0E6PsO3ymCfUh7pJQjBgkj,2018-06-27,2018-07-31,35
United States,1r0faljjM2b876iNoaDUh5,2017-02-03,2017-06-15,33
Czech Republic,1ZDmxwg7Lywlx68b7SsJjj,2019-06-21,2019-06-21,1
Dominican Republic,5CExCI5k3t3Bhws8sgs8Hl,2021-04-23,2021-04-28,6
Norway,7Iiek3SL6PluRxj9IgbTC1,2022-01-21,2022-01-24,4
Slovakia,5jvIiqm0GnuWl9A6rHl8fb,2022-02-09,2022-02-11,3
Germany,3hE9T8H1jzSS0SxLNtUtKl,2018-03-09,2018-03-09,1
Romania,508xT3vRnRqSPeazyzd1j3,2018-10-05,2018-10-05,1
Global,5HeKOKc4phmLn8e4I7EkzD,2018-10-05,2018-10-30,23
Global,5nL0vuUo0oBm26obUe5Ogu,2019-11-15,2019-11-15,1
Greece,1IqsmlNCzYflCBMrjQDjFY,2017-11-21,2017-11-23,3
Thailand,2pn8dNVSpYnAtlKFC8Q0DJ,2021-03-12,2022-02-11,337
Switzerland,2ajzBr7vwHTEBeqDzcsNRC,2020-03-08,2020-04-09,31
Austria,6potEImiklXkwD9qFzpu15,2022-02-02,2022-02-11,8
Slovakia,7n4JKzOU0ymbmaNhuMHO4r,2018-04-27,2018-05-04,7
Mexico,2SaB5fVysOqdJQnjDEBcPW,2017-06-18,2017-09-24,2
Morocco,6bCoSWW1zyQrwQDSMEmsVy,2021-11-15,2021-11-15,1
Finland,2gTYVoQCUh0QNUaFix01ld,2018-04-17,2018-05-08,8
Belgium,2Kphenifi7SCpExzh5g0dA,2019-06-14,2019-06-14,1
Latvia,5UpXJ75CXod4PCoBQP6MAP,2020-10-02,2020-10-02,1
Brazil,6tgEc2O1uFHcZDKPoo6PC8,2020-08-03,2020-08-03,1
Taiwan,63NTlJWNS65JjsE3QJYr20,2017-03-10,2017-03-10,1
Colombia,7LEydI5NfjY6mZfKwYIptZ,2017-06-03,2017-06-09,4
Turkey,4lwfABJjnJYPIgLjuGiB63,2022-01-03,2022-02-11,40
Chile,1sHs87yRloQy0vE9mzpiZB,2020-04-22,2020-10-22,183
Netherlands,5HDPtsnyb3maFmPL8LLUTG,2017-03-03,2017-05-14,72
Germany,2a70a8nDkh7pjzkGA8CbQ3,2020-04-24,2020-05-12,18
Malaysia,2URDbWGmPz3vhagl25p8OC,2018-05-11,2018-05-13,3
Switzerland,1Eu69s98UkqQ4lIhG4Qmw0,2020-02-28,2020-02-28,1
El Salvador,1rgnBhdG2JDFTbYkYRZAku,2019-09-16,2021-05-27,596
South Africa,6H7fWtwEUHVfTyZD7zeG4w,2019-06-13,2019-06-27,13
Mexico,2x0WlnmfG39ZuDmstl9xfX,2018-01-16,2018-01-30,15
Ireland,4wVOKKEHUJxHCFFNUWDn0B,2020-05-01,2020-12-03,197
United States,2qFT2tvTY8ZsBZLeaFeEB3,2017-05-05,2017-05-07,3
Ireland,2nUJvBO87SkxCViQsLc9Zr,2017-09-26,2018-04-02,175
Saudi Arabia,0RYHqnmtNRfbYxP6Dn8Vse,2021-11-11,2022-01-26,68
Finland,4Q3N4Ct4zCuIHuZ65E3BD4,2017-03-01,2017-05-11,60
New Zealand,4weZNLIAjuYTx2uAShllRv,2020-11-10,2020-11-19,10
Italy,0F363Hui8600occlqnHXdJ,2020-03-31,2020-03-31,1
United States,3imS277wRbz1CFoDySgTff,2018-07-27,2018-07-27,1
Turkey,15UmkHxvInLd99LZPLM7mT,2019-01-31,2019-02-04,3
Brazil,49QpcTWIP16YgGLmiPDvTI,2021-05-15,2021-10-03,133
Canada,7ggHBbAUjEVpwBSUM0TNyK,2020-03-28,2020-03-28,1
Mexico,1YqcGlCHNquxBhlUZsjhMT,2017-11-09,2017-11-14,6
Austria,4u1eigMS1ORqsTrASgXzID,2017-05-21,2017-05-21,1
Indonesia,54HsCR7lJJdwxmEnTY1JfF,2021-05-12,2021-05-19,7
Morocco,1I55Ea0zVoSKs6MqW7DQ3i,2020-05-01,2020-05-01,1
United Kingdom,0I20rLT2MJDhcF96AjbNYo,2017-12-29,2018-01-06,4
Slovakia,3XiNC94b4Tq1xwv70sQJGN,2019-04-10,2019-05-09,29
Estonia,6kUaRtXf19fu5IQWjmwsEJ,2021-10-08,2021-10-08,1
Thailand,4zvpnvtc2IYE3EMQau3vIH,2019-06-28,2020-11-07,487
France,2Xik8yGpCNj4sNmpyICKjQ,2021-10-15,2021-10-22,8
United States,045SnNDjOfOLKM5OxARH4g,2017-06-05,2017-08-14,70
Panama,2Q3jFbyE61mCjS3SkW4toJ,2021-09-03,2021-09-04,2
Poland,1My0Hfu5dTCbYisBk9ZRGr,2017-10-12,2017-10-19,4
Thailand,5iwz1NiezX7WWjnCgY5TH4,2019-01-14,2019-01-24,8
United Kingdom,2VoJe7vkKkigs7C3CGnSXL,2017-08-11,2018-04-18,244
Poland,3HQN30IA433zQxP6dVtXbg,2018-10-16,2018-11-22,38
Lithuania,3zoYkqS4y2BsGVShPL2nTE,2017-08-18,2017-11-17,48
Czech Republic,4mHgYpuGHu99Mw69E83CP2,2018-08-10,2018-08-16,7
Singapore,2tB9OFgAHjAds3cqquLlvp,2021-03-19,2021-03-24,6
Colombia,1G2CAJeP7rCwOZjlSJ0Zw3,2019-09-12,2020-05-14,228
Thailand,77mQekDNA5UQUL0w0bHriI,2019-02-08,2019-08-30,68
Japan,1QrR4mWXPY9bLsA4FKYtJF,2019-06-29,2019-06-29,1
Peru,079Ey5uxL04AKPQgVQwx5h,2021-03-12,2022-02-10,335
Czech Republic,3vPoCfS2Ao2pjOvKZ63ybx,2018-05-04,2018-05-04,1
Austria,0ADG9OgdVTL7fgREP75BrZ,2017-01-01,2017-03-17,38
Hungary,76FZM38RC8XaAjJ77CVTNe,2019-02-08,2019-02-10,2
Bolivia,2Imq77E6CEJR5TPUxlJvTY,2018-02-09,2018-02-28,17
Argentina,3ktSe2NHl8RO1Fjh7mcvam,2017-12-05,2017-12-15,11
Taiwan,7vRriwrloYVaoAe3a9wJHe,2017-01-01,2017-02-01,21
Sweden,1vVNlXi8gf8tZ7OhnEs4VE,2017-07-14,2017-07-18,5
Canada,4mHgYpuGHu99Mw69E83CP2,2018-08-10,2018-10-18,64
Morocco,47ozhUZAo5d5rmyrE3rD5O,2021-03-20,2021-03-20,1
Panama,7AUhck1sPy11OExQmDDx4P,2020-12-11,2022-01-01,166
United Kingdom,3hB5DgAiMAQ4DzYbsMq1IT,2017-01-01,2018-04-19,248
United States,6uJwPeBGb3swi85TSr9iIz,2017-07-14,2017-07-20,3
Hong Kong,07MNtfddtgCo6VrUm3O9dw,2017-07-30,2021-01-01,251
Norway,2Ah0Z0ZFAhmfyJAakATMCR,2022-02-04,2022-02-11,3
Czech Republic,7fcvzNvsrPhc5nyv7oTgGh,2019-05-24,2019-05-30,7
Sweden,3dFOGFGm85waIgaAbaapzL,2020-05-18,2020-10-03,135
South Africa,6lruHh1jF7ezgbLv72xYmf,2020-01-06,2020-02-06,28
Paraguay,6JqpFboOH2bq9pzaYbkKBn,2019-03-15,2019-05-18,55
United States,6rZFgf3CfLfjDrm10bbfrR,2017-10-18,2017-10-19,2
Thailand,438m0u7h7miwjCdCdDCl9W,2019-11-29,2021-03-27,467
Netherlands,3KWRfpExkN3sxvR36Z1Pl3,2017-12-23,2017-12-26,4
Israel,44ShclXTOOnYtt5CnCDeGV,2019-02-20,2019-03-07,16
Ukraine,6aytKTXzEBOEgx5ws19Ilb,2020-12-17,2020-12-17,1
Austria,42CeaId2XNlxugDvyqHfDf,2017-11-06,2018-02-12,93
Portugal,0cMjaVjMi6VPn1mkWPGKka,2018-07-13,2018-07-13,1
United Kingdom,5C2ry6OWozoqrEDyBz7MOX,2020-10-23,2020-10-23,1
Spain,2scOpCkXHdjx5Pba0T1S68,2018-03-09,2018-03-15,3
Taiwan,3ZbJMlEL4Kcme0ONRO7Slx,2018-05-04,2018-06-09,35
India,4tyofCkaLLqvRmM84M6CB5,2021-12-04,2022-02-11,32
Brazil,1WTJdd2atKxhUrbvUHjNDt,2020-11-04,2021-03-11,128
Singapore,71vPAjlG1x606483GTJNhY,2020-02-17,2020-03-30,40
Estonia,4XeBNnnoABfqa6x8dK27b8,2021-12-02,2021-12-03,2
Taiwan,5XSA1NjZV8f9yMzlMqj5Bx,2021-09-17,2021-09-17,1
Norway,6aDsgHPZsMztSbZernzlF8,2021-08-27,2021-10-21,55
Romania,660eekzsNZ7sdATvfIsAkR,2019-07-26,2019-07-26,1
Brazil,23bIOsqrHRvv5JtN6MTLj6,2017-01-01,2017-01-01,1
United Kingdom,2t8yVaLvJ0RenpXUIAC52d,2018-12-21,2019-04-18,117
Ireland,6YEyNkfWYAFTib8j1eXg1A,2019-06-04,2019-06-07,2
Greece,2ZMLwhOxcGp1BsgmSduqfh,2017-07-12,2017-07-12,1
Colombia,62hTXlVQacy3pjBW4ntRPl,2020-05-29,2020-05-29,1
Honduras,74wEiOpnvCe1tCTWKGSYta,2019-10-18,2020-01-18,87
Netherlands,6cFZ4PLC19taNlpl9pbGMf,2018-11-10,2019-01-24,54
Ireland,5yWndAahoR9XlQkz4urRh9,2020-11-06,2020-11-10,5
Austria,4O5iJBcCR46LOgXGo7uSuT,2017-05-16,2017-05-16,1
Canada,43TP6JCWXgkc2D7Xjz5hBr,2018-09-21,2018-11-01,40
Brazil,3CGZ7wfk4skmuyQgua1C1K,2020-05-29,2020-06-03,6
Malaysia,3oGVx9RBmiYGv5ZCecWLkx,2021-11-13,2021-11-16,4
Turkey,5sSKQKLzKqOKxbgUyGlk2w,2019-12-26,2020-09-25,210
France,2WIeuAjiFJnOItLZ0sjniI,2020-04-16,2020-04-28,13
Morocco,00MtjYjIo8XeOFX9ImENgf,2021-11-02,2021-11-04,3
Denmark,7e4NQxTIw9ea1fOf3a1pWY,2019-06-14,2019-11-07,131
Finland,1MyWtH2yavuP1AHUi1X7ur,2018-04-30,2018-05-01,2
Turkey,0CLnkxpa3M4eA3HeGaERat,2017-10-20,2017-10-24,5
Argentina,4qqArAiTPueDxIp7cf87h7,2017-04-01,2017-04-02,2
United Kingdom,0TrPqhAMoaKUFLR7iYDokf,2020-02-07,2020-09-17,210
Mexico,43RG7aUiRDmfc8q2vQfiFc,2017-09-29,2017-09-29,1
Iceland,15EH2glphTjcarRjAsc0EB,2021-06-11,2021-06-14,2
France,3up1uPuvL5vkfJ6aOeSRtD,2017-03-14,2017-05-28,68
Austria,29Rfso2W1pERTuboGe3avy,2020-04-03,2020-04-09,7
Argentina,02zBhKZIES8MMX9lvo1WKQ,2017-01-04,2017-01-27,11
Portugal,06FCvd7rrRcF3DdvWH5Isp,2017-04-14,2017-05-25,39
Switzerland,28T00JFohD7nJXGm6QJhii,2020-07-24,2020-07-25,2
Sweden,1FnR4tCrLOcUaYu3JbyAEx,2019-03-01,2019-09-04,136
Brazil,6MQrN9fclpvR4nf0uJrG1x,2021-08-09,2022-02-10,181
Turkey,71bBFbfn2OBK5QwUJSLS44,2017-12-15,2018-01-10,17
Slovakia,4g32MdRoqwGKQd3NXIRhpU,2018-08-31,2018-09-28,28
Romania,4UQeq4HUvC5uPEA9pWTgPW,2019-07-19,2019-07-19,1
Finland,7Izh7zLJGw1Nscd62Exxj4,2018-02-28,2018-07-02,122
Germany,6ael3WYGBlAi2IdVPdGNyc,2021-10-01,2021-10-21,21
Switzerland,2US9NfqzllXpljbde56x0l,2019-12-06,2019-12-06,1
Spain,3soOPBuMK8YMdWnV7xpEyf,2018-02-16,2018-06-28,122
Belgium,3FeVmId7tL5YN8B7R3imoM,2021-09-24,2021-10-14,21
Dominican Republic,2cI9at8yZOA69znRNFFyOe,2020-09-16,2020-09-17,2
Israel,4VeQnkjqHpJ7fiw1ySkxtZ,2020-05-23,2020-06-03,2
Nicaragua,2BOqDYLOJBiMOXShCV1neZ,2019-08-01,2019-08-01,1
Nicaragua,0WSEq9Ko4kFPt8yo3ICd6T,2021-11-05,2021-11-16,6
Austria,3qk4wRMDlaeagZGjSYbsOV,2017-12-18,2018-01-10,7
Austria,6RsRMf9e4KUyo3MecGffNL,2020-07-10,2020-07-13,4
Switzerland,7oHkit3F3vimtsBbnZkU0G,2018-06-09,2018-06-13,5
Austria,7L673Cv2lzQJkG4eyqjG0Q,2017-11-30,2021-12-25,41
Estonia,4VLTxHOyFX5FRtkpsFm5Pc,2020-09-04,2020-09-05,2
Poland,2UtyLeMG2ol313vK5jIWUN,2021-09-24,2021-09-24,1
Costa Rica,1Ft13La2daEGqz5yWJC7lx,2017-11-18,2017-12-28,28
Costa Rica,3paOSlqrFcMhdGDZ5513AJ,2019-06-22,2021-01-17,11
Egypt,6juLaduD4STCUDWT0AYun4,2020-10-28,2020-12-08,41
Panama,0D8ZpOXVjapLXrjz5VfZSD,2017-10-12,2017-10-13,2
"Korea, Republic of",1r9xUipOqoNwggBpENDsvJ,2021-10-29,2022-02-03,98
Japan,51Fjme0JiitpyXKuyQiCDo,2019-09-15,2019-09-19,4
United Kingdom,4rmIfFUZhhi9sS5IYtpkXw,2018-12-01,2018-12-06,6
Thailand,3S7A85bAWOd6ltk6r2ANOI,2021-10-22,2021-10-22,1
Saudi Arabia,2z8CpXdUCwzoWVSmvaVDIY,2021-05-20,2022-02-11,247
Global,42fR3oINF3KfXCDtheoNiY,2021-06-07,2021-06-08,2
Ireland,0Kdj7nwaYQmvhxnqZaIQuW,2021-06-10,2021-08-19,50
Austria,7a4aFs6bW7TUySQviVERSI,2019-03-29,2019-06-13,14
Netherlands,0e7ipj03S05BNilyu5bRzt,2018-04-27,2020-03-12,341
Costa Rica,4zIO3ilp5HvTeK3HJHxhMP,2018-07-23,2018-11-08,85
Finland,2UxQYmVl8d5OczJnIUWxwH,2020-11-27,2020-11-27,1
Iceland,6kex4EBAj0WHXDKZMEJaaF,2017-03-27,2017-11-03,212
Hong Kong,2w9A7fvq6ka5CB9l7wDZXG,2021-01-01,2022-02-11,407
Austria,54h8xHewdRPnYzmbEHBhOO,2017-06-23,2017-06-27,5
Malaysia,0CLnkxpa3M4eA3HeGaERat,2017-10-20,2017-10-24,5
Italy,1KeZgPUr54C8iz3FjqzVoz,2017-04-07,2017-04-07,1
India,2r6UZZ1JdRsDlfIQHKDjST,2019-08-15,2019-08-15,1
Canada,3soOPBuMK8YMdWnV7xpEyf,2018-02-21,2018-05-18,81
Colombia,6xE52qraVJccEs67IOGJh0,2019-12-25,2019-12-25,1
Thailand,3eidcesJKboxwyq7fi3yF7,2019-10-04,2019-10-20,13
Poland,52xJxFP6TqMuO4Yt0eOkMz,2022-02-05,2022-02-05,1
Lithuania,13CQnHLOoepmaPFuI2AfoV,2020-12-24,2021-04-03,21
Netherlands,0HupLl9x9lSTsv9nVBoOnt,2018-07-06,2018-09-27,78
Argentina,4t2OeILB07eMGTXSUbMPEu,2021-07-30,2021-08-03,4
Finland,1whfVLMKWqAX3uk97VXsNN,2020-10-30,2020-10-30,1
Ukraine,0UNq8Fqmv81cnbq0OqPPVV,2021-10-05,2021-11-30,20
Sweden,7MoAhkmmMASmMajwi9zsWy,2021-04-30,2021-05-06,7
Mexico,3ThrfRAmijYU098H9q9tAs,2020-10-16,2020-11-12,28
Malaysia,4Y0TtDriFlN3XZoQx6PYsu,2019-03-24,2019-06-30,97
Australia,1sl5tSzfK1JrcQIcA8rYDy,2017-01-31,2017-03-01,20
"Korea, Republic of",3BZEcbdtXQSo7OrvKRJ6mb,2021-03-26,2021-04-11,17
Denmark,0ZVVDkr8zSY71Jeeh2LXGq,2021-10-15,2021-10-20,6
Spain,5CiWKzBkTveHezqY3TQmCW,2021-05-04,2021-05-30,27
Philippines,48XfojJC87VKLlUotYV0Gm,2018-05-18,2018-08-29,40
Global,1j2l6jMz85PaXuDiF08Vcv,2018-08-10,2018-08-10,1
Norway,6nGtbklEfeXapvjTbV8kzn,2021-11-12,2021-11-12,1
Hungary,4O4xuKdvJvl7HpFlYGwudS,2017-01-13,2017-01-13,1
South Africa,5vUnjhBzRJJIAOJPde6zDx,2022-01-26,2022-02-11,17
Dominican Republic,1A9PKAFEHMWgXNLpgf7k4J,2020-01-24,2020-10-13,234
Germany,2bgTY4UwhfBYhGT4HUYStN,2021-06-08,2021-08-28,79
Mexico,0fm7fJ4aZv6Wx0klIcyXPz,2017-01-01,2017-01-01,1
Denmark,64Ho5b12wrKEoA53f3vpad,2022-02-11,2022-02-11,1
Taiwan,0RNFBWoYooRgebrqFv4Gcq,2017-01-20,2017-03-06,13
Switzerland,1wW6izAT1QSWPeVUn6UyBX,2017-12-24,2017-12-24,1
Turkey,7rR20Za01SDBTTZLhWteyL,2022-02-02,2022-02-10,9
Hong Kong,0jFHMDRXxKaREor3hBEEST,2017-09-04,2018-02-22,108
Ireland,2zxEc1GCSCxbHIXTfhraRC,2021-07-23,2022-02-11,202
Denmark,4bWX1tKWsnnU140vI5mwf8,2017-09-23,2017-09-23,1
Switzerland,15WohOh6HPF4H4rxgtsElD,2022-01-28,2022-01-28,1
Japan,593W4qZOwwdqF6YnimJjL6,2017-06-11,2017-06-18,4
Colombia,5Km4r87BoX2qqtoprYS1gh,2021-02-12,2021-03-25,42
Portugal,3rq5w4bQGigXOfdN30ATJt,2017-01-01,2022-02-11,1236
France,54DmTIv86D3sYdiawjULQ0,2020-11-20,2020-11-20,1
Czech Republic,0Y4hwUppbGc8aIBmiTz30A,2018-04-20,2018-09-05,135
El Salvador,1TMxv8sfUhU55AC6Ul1PU5,2021-04-25,2022-01-23,36
Bolivia,5eIL2PBVtangYd7tepcTIs,2021-03-12,2021-03-12,1
Bulgaria,6qZANDqrSAvfuSjcxBP1PD,2018-11-02,2018-11-02,1
Lithuania,5yf4bV38mKsjdvcibqP8Gt,2021-10-13,2021-10-13,1
Peru,5bITfqKGaPakO1l99hOMsI,2018-05-12,2019-01-19,251
Poland,67dyMPOUsbZ9Yg06PnfAAh,2017-02-17,2017-02-17,1
Guatemala,3gO8mvkxIcyF9N7Vd1WM2i,2019-09-08,2019-09-08,1
Paraguay,0NZtpFRzI4ZygqISV7fTtD,2021-12-25,2022-01-30,5
Slovakia,0ySwEFQoOhVaGBky9iCdFJ,2018-10-26,2018-10-26,1
Slovakia,3IB5qOeMayvpOdHxYCL5tZ,2020-02-21,2020-03-04,13
Ukraine,2DYzsMQpO7xOw7b3JwyIWP,2020-07-24,2022-02-11,563
Finland,7r8idehyb1p3PZXd7PmsEi,2017-11-27,2018-01-18,48
Romania,782ET7GKMVvNPBez4nsurW,2018-06-04,2018-06-04,1
Peru,6zrJLhslleCHby0wbUnvVy,2020-03-27,2020-03-29,3
Italy,41Ic4tOAkz5NMfNNQ14bW6,2018-11-16,2018-11-17,2
Taiwan,2A0vCSTeOryiLsbuWDwX7G,2021-06-15,2021-06-21,7
Iceland,4YcWzLSnGqLjSCycuSMHnn,2020-03-06,2020-03-12,7
Uruguay,2QyuXBcV1LJ2rq01KhreMF,2020-02-22,2020-02-27,6
South Africa,0hGH0S74Eoyv6mXZcOKtdQ,2019-09-06,2019-09-15,10
Sweden,0ZciUwSSqAqYzWBPUBK9Su,2017-10-20,2017-10-20,1
Italy,2KuNAzXbFciqRDSwcTyOqH,2019-06-14,2019-06-15,2
Israel,5NqaOikDeIaG3KVmPV4ffg,2020-04-15,2021-04-03,2
Panama,1diS6nkxMQc3wwC4G1j0bh,2021-02-12,2021-05-31,78
Iceland,5S4PZ7AuYlYiVIVik3wHUf,2021-09-17,2021-09-20,2
Italy,2lDgdWIGLYuk74pDeRPgPF,2017-12-08,2022-02-02,256
Sweden,18RIZBPimrSlHdG11cMJKw,2019-10-20,2019-11-24,36
Portugal,5p10VwQ8LRoyTc8LFrvPw6,2018-05-18,2018-05-20,3
Ireland,7lthOBXNue2IvedLRfkod8,2019-04-12,2019-04-13,2
Bulgaria,78YTl0P96kBCBXUSzKoqAm,2020-12-25,2020-12-25,1
Estonia,2VjtYe7gpfUi2OkGxR2O2z,2017-08-25,2017-08-25,1
Norway,2KsdoMZsL2ajnjjYUWm1ZT,2018-04-04,2018-04-04,1
Norway,6cQnrSlTxhHCCiUpKrs7g3,2018-07-12,2018-07-13,2
Switzerland,1AA3XZWWaLTcOgVdeSWg3S,2021-01-22,2021-01-22,1
Italy,3ZAYjLG45dNmihObit1MGL,2017-05-01,2017-06-04,31
Denmark,4FBx6n2CeLZmFypg3JBA5Z,2020-03-06,2020-03-11,6
"Korea, Republic of",7rWZS6UDNgLbtCgq3eUrdM,2021-02-01,2021-08-23,12
Italy,3FeivzOuUq5Crg9VTnciIX,2019-12-13,2019-12-13,1
United Kingdom,4XsG4fUG2oAA5KVnGJqLw1,2019-02-15,2019-02-25,5
Netherlands,5HFPK8mcO6BGPZNeZPZI5L,2020-09-04,2020-09-04,1
Japan,2KBEZQEPc5d0yl5WhPr26x,2018-05-10,2019-09-05,76
Portugal,2uBhGx3m5iJrtsql8Qk00j,2018-10-05,2018-10-07,3
Ireland,0HaNrvszmWl5vIwKuADD5Z,2021-05-11,2021-05-12,2
Panama,7kuRvjpeUcn6qNV9IBXC2C,2018-12-13,2019-09-04,262
Israel,6gMor38fgBdx5EZYV3MJno,2019-08-15,2022-01-28,826
United States,1NX3nkD48kz4BLgxUhtt5s,2018-07-13,2018-07-14,2
Philippines,40FLJc17FMZaPmCQEEZgB0,2018-07-19,2018-07-23,5
United Kingdom,62zKJrpbLxz6InR3tGyr7o,2019-12-27,2019-12-28,2
Norway,5R4HqXCZ6uTjxxnGdLt2S6,2017-04-14,2017-05-22,32
