danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.572,0.634,8,-6.104,1,0.0281,0.0411,1.34e-5,0.278,0.651,93.503,0OTP5IzayTSifnnvk1bkIz,141337,4
0.746,0.691,3,-3.992,0,0.0428,0.194,0,0.0582,0.506,88.013,0cfqbF7GBQJMYg0S6GEqG4,197835,4
0.468,0.823,4,-3.973,1,0.466,0.81,0,0.598,0.941,74.457,2LPUvD5DDOO4UYGkWgjI2C,179564,4
0.641,0.445,7,-7.94,0,0.12,0.625,7.8e-6,0.119,0.0534,145.302,7FAND3cHMvepHjpBp8gOZ9,134689,4
0.423,0.705,10,-4.742,1,0.0384,0.457,0,0.196,0.466,179.904,1UxYNCzvOgMMMvzQe66NIY,189454,4
0.74,0.544,2,-12.847,1,0.0335,0.375,0.00961,0.0967,0.45,100.979,58ZHuSI9SWvWU66n43kafK,266139,4
0.789,0.667,9,-7.301,1,0.0514,0.356,0,0.163,0.731,132.009,0P8n6AIBVc88gxbliu0lej,206427,4
0.595,0.408,10,-9.716,1,0.0394,0.281,0,0.095,0.145,137.928,0bSMnnhnrSQJoKB5uPmJiW,231134,4
0.733,0.787,2,-5.894,0,0.152,0.142,0,0.105,0.575,75.031,3dradzYJqQ88RJEuQhXt5d,179623,4
0.618,0.775,2,-6.41,1,0.0282,0.0392,0,0.127,0.842,133.981,3ZyMRe0jlSqffPBMeHUZFX,300513,4
0.715,0.612,0,-8.307,1,0.158,0.156,0,0.121,0.432,140.991,0vV1KenVmpL0ErIUiwYNcv,216700,5
0.664,0.837,9,-5.614,0,0.032,0.154,0,0.272,0.838,105.041,6a45Mll9VM3W0oYncXBS6R,210286,4
0.571,0.843,5,-3.853,0,0.274,0.0734,0,0.0346,0.169,133.719,1vVczNsgTDLGvj7fYzbYpR,183972,4
0.48,0.95,5,-4.013,1,0.216,0.0708,0,0.52,0.596,171.67,31zYU6IlZy0oNBL6JjFgrT,158721,4
0.701,0.828,6,-5.67,0,0.0992,0.214,0,0.233,0.95,88.005,468qh3kLC95TiqeBj05ohC,196305,4
0.476,0.504,4,-8.192,0,0.268,0.0206,4.08e-4,0.253,0.284,95.777,20sC4DK5X41pqJZBCRzfyA,176953,4
0.815,0.717,3,-6.165,0,0.0437,0.329,8.43e-6,0.0777,0.675,127.971,5KOTFwoppYUD62ck61Fb6h,148125,4
0.888,0.458,1,-6.526,1,0.276,0.0623,0,0.0817,0.403,78.041,46kWBuH14tFHgB76W9C610,138240,4
