id,popularity,label
5oTvkdd3qel4brLsemXI61,10,Klass-A
7C7hGSG8WYtfG3ocKOO204,0,EmilyZimmer
6yU9X7gSwxano3ELClOKj4,25,Epic
5WS2nUtXM5mipwh221pQwO,48,Sony Music Entertainment
50vRJfrBj7JK8Cgt77KT7f,44,Armada Music
46tySm112BCkEkfssfPODv,58,Aer-born
3xOaKzKqeTIYdViRx7TP5p,0,Cloud 9 Digital
4zZxWI1kbPaUgE0PTRPBVt,53,El Jefe Records
6zAy8yhXyey4JitXpszFh7,64,CGD/EastWest Italy
0hwzeUcdbZr0WTO0Vym0vr,25,Bjølsen Lyd
2FGM13nJF25ZzLqhwdavnV,25,Open Mic Productions
7rYkGz360whsaqK1Db2wd7,40,RW Produtora
5qphGQZTo9jWQruTnGmjRP,0,亞神音樂娛樂AsiaMuse
2aesXcUGOeRTbE553JaEB2,0,Because Music
66Zz994VRKgximOQ31Kh4u,65,Crown Records
6vds11c8zmVOAXATaI29as,49,龍大謝音樂有限公司
3s7yFDaJ8eEFQyHvhvD0ap,52,WM Chile
0xl3i3ohi5ojBbkNl7mQMJ,0,Columbia
2nhafiaXb7xAkp3HWFAjV0,0,台灣海蝶
4VnJ6r1zKWoFntIciwgxy2,38,Payner
0CICFBLJWVQEhkSHk0Ozz0,42,WM Taiwan
5mEokJcUr3SEUgiHff6dxb,19,Sound African Recordings
5kLDNxdjZDwgEXMAH0u8qX,30,Payner
3eWhckqCd4GXXCchAvaWCW,50,The Mayries
4b9jBUBYHJrEdpGInIduSc,42,Scrubb
4lsQp3EEpwSUYNr6NHlKR5,0,WM UK
0YuwANWUhPzdkdDkCH8eXf,0,WM Italy
32gGR2it3KcYu8geETxC3V,65,WM Chile
7iXODHXGmI96Ofc4ENaoQE,32,WM Italy
4QLZT7hJryU4gQ4fY45fkT,0,Universal Music Group
18rTAEWrg11OdOxtlZyF0q,0,Spinnup
2wG4p0Ze6LANi5HDRqvY2I,29,Cardiac Records
2SRbS3joBmtvFWBF8ES8hS,48,Carbon Fiber Music
3urOexSyMxC6o0DhN3cD5r,56,WM Finland
7q6ObnVvpAv2oSe7905OGJ,65,Gamma Music
4kETJFrrqFJn9VO5EkcTLB,33,Telecom Egypt
4kVKneZzlnXKUFbveb9ZwA,0,Independent
3bfmiUsXdErmCz71FjZqnW,55,"Right Hand Music Group, LLC/RCA Records"
1I9JczOR7aFR9HZEzIeNgT,33,Minos - EMI SA Distribution Deals
00MON5AiPM2imjJHOzIPPX,8,Yemil
4WelcDyQ0HF1OVkWUrLecA,0,Wolf Tone / Caroline / Hostess
4LDkteS52GRbR6rjrbhFkV,60,Artist First / Wanderlust Society
6O8LlLFUZnM2XMw40PHtv8,0,Hi-Hat Recordings
0hEBLa2HOpQP3DhlHbAlHx,43,Last Kings Music / EMPIRE
4ZT0yZiZQOkHxOrVgV3zkk,0,Loudschool
5XK8ZpggVhhF9dDnibdz8P,39,Universal Music Division Capitol Music France
154V38RtyuJFnlK8WsLtT5,64,Columbia
2gzSB9S5dc51YUnk5y2VUb,37,Reason Brothers
6qwV6ppZHkiVrLoAlfneBh,0,Universal Music Oy
1BeWYcLEYlD2rOaa0EWdSr,55,CJ E&M MUSIC
1YOlcMrHL5DcnMnx5z2aCM,30,Luna Prod.
4y2mW0Vpyc897XhWl8K6B9,49,Head Concussion Records
6dCmIIkM6mdVljGNhg8odh,20,WM Denmark
4gpZ0GHKxJitDg4SjosXm5,24,Columbia
4B8Zpx475KXBTESDM8uAny,0,AVRUPA MÜZİK YAPIM
5b5m4Kjx34zoQ8tguW4yyY,47,Urban
6lq0lDiA7RS3pfLqhEcNmQ,51,Geet Mp3
026GOYnOrorVFNmigW0SD3,47,"2019 UMS Entertainment, LLC | Distributed by GLAD Empire, LLC"
6FQ0GEiGndu9fXvW4FQvo0,1,Atlantic Records
2ly3FWoq6XzVIDvxYyih4o,33,Universal Music A/S
5Rv2rbk76AcPUaRS3eIYUV,17,Noah's Ark Music BV
3dqjq0Zuom7Ylueu0KFca5,0,Universal Music Group
1YKG4ksCAHSyxs8EfoYy2p,59,Urban
218xnXLuD4uniB84td1kIe,24,chillwagon.co
1XPuaa5i1vDtWIbdVbImZt,43,Spicy Disc
71scJnh6mBYEZbgKMRXqUU,31,Ministry of Sound Recordings
5q63KVufX9Vs6Xj6UFdVsp,39,Stylo
404D9G3NnnZoLmu6pKFW3x,21,"El Batallon, T.y.S, Big K & Big O"
2WdPiPEVjeDLeOr5sMpT4k,47,Dynamord Label
5RTihEXgrv7lWT1IqlCpVl,16,Universal Music Oy
5qxs9eat6EU27GNVg4SGjx,0,SAMMY & LESEN
6B3LAqHoBKmSN9HLbyy0Ro,71,Columbia
6k0C4P2h1qRr3HORw3ziNg,54,Rec. 118
6PSqQH5B9ftNcm5aqUjzSG,45,WM Finland
5ll2QMGMpKA0ltuUOHQ12Z,19,WM Sweden
4tP4yk2Kyv9P1MYI8Kcbji,0,Umut Timur Music Label
5BZxt9nlrSSgzrHTLeSmKg,26,IML Irish Music Licensing Ltd.
416JhYQr0wpkBE5vJqIOz1,43,Sun Eater
7BG1hKMWQAUkHBm8f7ppC1,49,Syco Music/Epic
1MTvtQtk1V2gqCNxnu5cNA,76,Columbia
