id,popularity,album.release_date,explicit,album.id
3IL7XFbsAc0kNbnFN8k7Rn,0,2020-09-18,FALSE,7Mg6UiOH7bqWigRehlPwv5
2AdvXeF37oUqsX3uwKEMtD,40,2019-03-28,TRUE,5PyLZNGxhEkF7DEOnHQ11x
64yg3U7aGBZQjJiDBf1uqp,35,2018-01-26,FALSE,51vRvV83RdWGP9FpzGe4SQ
6g8h4gFjZhlNOsJ93L4Ghg,47,2021-07-30,TRUE,2TZX9mElJ86xfdSEGtUsLr
69xznVMwMjB3w8KdW33EON,37,2021-04-01,TRUE,6gjtbDUAWklRV8vcFdnra1
6TmFBRcA3nbLgASXmMz7Ch,53,2013-11-08,FALSE,41cipwBmzRLLrOEyZ6657Z
0RRq3gjEmlIb7AE7FhCGTh,18,2021-08-14,TRUE,2DcnzYJSPW54FtQ03EhLI7
0cpugZilyivI17rm668JzS,0,2018-01-22,FALSE,3Cxmv6J8EHylSthSQzdOVm
04kk8MFlGciFNMp5x7J9i6,46,2021-05-27,FALSE,74yf9InZ3uUBOLYKpIrk93
6xFHL0UzZT7iKU77bAu5os,31,2018-11-30,FALSE,7p77n0bSAvoKsKupNKSQ1p
6Gz5nA3OkJL1mgJrKrJJlR,38,2016-01-01,FALSE,6qLQzrlhbTEhw7VuGVzs9E
3ThrfRAmijYU098H9q9tAs,68,2020-09-18,FALSE,3DxqnLZyD3wBfxdg7FnkPY
69cVm2zymPuNBHJW20fqi9,47,2019-12-26,FALSE,5eUaas4GtvDm3wq9RgdwtH
1hDMEHdPUCEAxvDPobWp1v,47,2021-09-10,FALSE,6CHpJofiGTiA1GjaKbqpfo
6NosuXu0gXczpqyYiYzfFd,52,2017-03-01,FALSE,5fPbbwEgH8qX4uIrmPchYi
4RQpKdmRVAjNXjqZo2OWoW,30,1997-11-04,FALSE,3cqWxJrSCEz1iFFLr2vUm6
2VxAfqI3vIOaPSlECBNJa8,52,2016-11-25,TRUE,2ibLsqb4jdCcfC7iy6PZCH
2MuVUXT1AaM2LBmek3YTNs,40,2017-06-09,FALSE,3Jo4dVL8L8lUH45nkr62JU
1lc8mmvGe10NrsdYkcE1dU,0,2020-09-18,TRUE,00hjhwy0lUHRYPp5YaACXl
5gyYRP5xO9UxDjkhaLzEd1,0,2017-01-13,FALSE,3uUMhsJk0YwuyoC0SnbLLr
5gIZSXZWdh0scWX8ftUYRh,10,2018-11-30,TRUE,322JprSjhVbBNbh0M09RIf
5VoWWfPKokTUBfPXC8SZIm,20,2016-12-28,FALSE,1137QjQha55YWSdBVfJqLN
1w6lJ06hgfwuBdeXp5dn8c,41,2020-09-18,TRUE,3pD0TA3tAutL7Bi2Ng8SPb
30Cmtqq371wUsPn3mvD04F,0,2018-11-02,TRUE,0o6miNaq4PrSEWKBNNkLtX
0YETkmonJ718JRimG5zJOm,64,2021-02-26,FALSE,2SGjjGOy9GCJuWgI8RrzFt
298tphsYCJO9jyN5Gycwr4,28,2017-04-28,FALSE,54DIuxHLFF8MktOdoYBqSD
