id,artist_id
2f4vdaOFLc870TX7NK6o7e,77QIEno3j2L5WkrHkh2OnP
4i8ObH2xPP4DSNniUJlgar,5KKpBU5eC2tJDzf0wmlRp2
6rLQZW36LaEUGWl3sWTg7v,5Pb27ujIyYb33zBqVysBkj
1nS2Qnyi5khzQt5d97NHft,1yq2JzsqbzFbJ1B7wGOXLc
4KjaN0gTCy3bal4S9y0eLz,3pjq2pDV9RR6VY55wBjVnp
7qMqfTc4uBKcJs81QXNqxk,2iReGc3ItZlbaaSWymMJve
2RS7Fn6xS8sR00wewPlWti,6KbCFHgM4basg1TvK3oEzv
2mxEGdiCIqFNLa22L061in,1vKXVGgIDP1XXZX4Tehjtn
23WM864U0pV6Tqlq7wmI1J,0dCSPVQ30JS4cRaCTtbEmp
4NsGfqVBEaaWG2l3AKJlNX,3jV6Ro12GySf82kJiksE7D
2AcnMriG4CEvx9GCTUjZfK,1SDzdhISMGaEQzOCaJQ45C
3Y7r2Cb5ynmMR18O0yJUM5,55mdlQp6zN8zdyIYB9DDQj
7LK4UwXwiVv1H76spIxeDF,4riOEaOW5hCeqomFDBk0aP
5QqdLBGTTCRuCaRBmXbo1o,1sr4vtowtd4mUDq0ZhjBEm
6wCKJNmCZlX1ilakqJoiCl,5INSKpcDpSbntKDXkJmoff
1IIQjpCwgj9GZO7ZAeKDaB,7iW0o1suit8xY24m9M5L0u
0OXBu6MKSrcypU4IQGvpfB,2YV2kAcr1Jd4Sl47gmtrrg
0ZJBlaxxol7oM2MgN2DrGe,1wFoE1RwBMWoWkXcFrCgsx
5UeVzcLrEl5aGutOBXKSUT,63MCBZRiUdnqRsAOJwijiB
7EySX8ldJHoeWjJhJyZ8Tq,4boI7bJtmB1L3b1cuL75Zr
0713700A6ouy16QAAbp5V4,0GoJXmDr5UBG8ValCZe4om
5qQCl5LhHzUXOW8ngCsCjq,1MtoCzEftS4dUT2poujgbH
6TyXieyAu2z51H6VMPKRI4,34dZRjYum6vVBGslgYaBtB
2AUdkFhVlngknqGHu30VJQ,1gPhS1zisyXr5dHTYZyiMe
251dZTlm4aZBeXt14ZcQmJ,0FP5F108WcX4euAwRyV1st
0Y4wx6JHi4uRxGDWJTDxA8,06nvjg4wBANK6DCHjqtPNd
6WzuBQg8YcvHrargJhHeS2,7xNYY1Zkb1vks5m9ATlJok
6saFNcuM7M16hdhchrvuTV,7DpYMZzVNrjqw1geHziUEd
74NyM9Ir1hjHJM4TSwVM7W,5IpqfN8Pqjy89nj1IfuOXC
0eV13maT8LfIjMLnNL2NCn,1eWulCragj6PpUGCgMt6M8
1ZPac6DuD1QbyHG7KJibFW,6tdM5Njlln7nWkonCppW0u
0CsR9Y9SnC6ZWmekmVqSHz,5cj0lLjcoR7YOSnhnX0Po5
73kB1ylFaJ2w0HDwxIDeZv,20vIrAPa9XfzrBf4z6H54v
5UEwM10opQJPtHimvGggUW,4iqSvJYU2R6IbLbMVhk7gQ
6mBfGRIGzWPWRr2vTB5Oum,4iCzh7b2cLbHVsPOwhr8W0
3NeiYiBn3rQBgurfVk92Zm,3AA28KZvwAUcZuOKwyblJQ
2BIxGGD8Rs7OmJqkzmfxG2,4m6ubhNsdwF4psNf3R8kwR
74dlWhbyR61UafvcXIrOZr,6AaNjxYvjOLb6iLbhxVWbh
79e8hwTrPAvAwYc3JFeK6a,12T5zPy82HcvYOOWAmkIS8
77tLjpxh63XDyrscdUFD4A,6BFfn51HkYADSANWlWKQro
4OMeEpkakI4Vb77gulgTDw,6kq4GHwUcUojGIu0ziSNXf
4zQuwW24dweWcaX0fEJkP2,6Q192DXotxtaysaqNPy5yR
2Xv7xN6e5UJxRGwPWN0vYK,3btzEQD6sugImIHPMRgkwV
79pz16ngfYU2iZV0dvj3QU,3ghRXw2nUEH2THaL82hw8R
7MrDfa1uQGVXx0JMZ2u5tN,00xU4wfephkJrjwJPDvfkf
1Himp3M7IH46qw2yBN1Fxy,6LqNN22kT3074XbTVUrhzX
010YIYs2s7OIGCOrPkL98B,0hEurMDQu99nJRq8pTxO14
2UMPNNnKfqNHz2TNv91ACh,51MxI9mWmRMPLK9eNlyQ7o
0uqvSVhGgQTIdj9G51vhvv,5UoVLCWzOKMIJ9iioof9OD
4NhEl402YbzQ1rsThaYvGR,7pbijUBmXdie5ChABSM4F7
2zVawCwOXmkr5pFw5O6MoB,0vZAzVAFQL1gKLBPfnXMaS
2VJ8G0LeX2hu7RWc4suNhe,1GbrJTB56Xs4XQGlmVbaCf
0woHVOh3KXLSDv8VU9XwZ4,3ATyg4fGC9F8trfb0GRWmX
1NEV2pt7AJSHWadhfCZ48t,49tQo2QULno7gxHutgccqF
6yJwkQTRYVicy6jWed3wpn,4Xi6LSfFqv26XgP9NKN26U
4VGwMJJ9Al4ENmRN9vsGc8,0UIqOyGL4dqIyNzhyyUcz1
1cWBj8RoxMypqpOtyHSfVN,20qISvAhX20dpIbOOzGK3q
2vHzGexdRc3SjjUxo7SZic,3LcKlNE5nPPFpDtmc2wtdC
6JoAgevkkygKmFl1CSt0TR,7c1rIwBQdZMoJD4VE9luoS
5ZyNCQmxZlYZfAHeJXTkI2,2LRoIwlKmHjgvigdNGBHNo
36kGkexLBfRK1hqdJ6qmaE,6i47wcSLvsZ9M01UO7zsua
4JIYqa3E8YL9ZAb9qbeJoy,5gqmbbfjcikQBzPB5Hv13I
3UmtRRyDBhjHzaMpG351F0,6YxrfNCKBcQlbITpmDLErL
5gJt35SlEd1j18PV4A6PCr,5XlRMlNz1qsrGJGankFMcy
0eFX8guc47KwJMNiqwS7zo,06CXCogBen86umuvgqPkRA
0SEzUzbEk1v6aFsfW73Ojt,36WPIJMvnC1lSvjwMHrGAR
1mMvahhW2Oz9waG8UTQnI4,4sTQVOfp9vEMCemLw50sbu
2ALhuRirRjj6hz7j4z22N2,3b5bg1k6N9u31OtzSfK2dP
1OT7IcivTGRJEQHrVwUmQF,61bQ4nwIioR8w6PGxzpyY3
4WqRGBQUYv9rvTzULWfdd6,5NUNUKyIbhKC5mImaZSXSx
1ME3PNQYZbMGN73NN2Vhlh,3t5xRXzsuZmMDkQzgOX35S
1icm3g1X4j3tFk4z2PrauY,2R21vXR83lH98kGeO99Y66
1nd2IfJsQt5Y9EOmVKuihb,77ziqFxp5gaInVrF2lj4ht
7hQ0ojbeqicGhw0wdUVeaN,3AA28KZvwAUcZuOKwyblJQ
1eXBgeGq201kzyCqszf6CJ,3Vnl7pKDxagUgRJ3NMtEcE
44gaMQqu72oAkxmRLxfBuI,4sQiXz6GYok2zyqMSHG0MX
3B7FO3kJ5kv3mX7yiaB7sT,4iHNK0tOyZPYnBU7nGAgpQ
2M7FKrVr8intZRw0JZ5BKi,4pejUc4iciQfgdX6OKulQn
4QbX1M5JblYzGTVwdZTgfb,5KKpBU5eC2tJDzf0wmlRp2
5Sv5ZcEQ8RJoIyiBMnX9cm,4mkCQKEe89EI0kn0Q7tMyK
5WrEqIllVjKgdmAmbhmKcY,0LyfQWJT6nXafLPZqxe9Of
