region,id,top_position
Luxembourg,7hU3IHwjX150XLoTVmjD0q,14
Austria,6Zosz8w6CmdGMZM6p4JlbQ,114
Malaysia,3CGZ7wfk4skmuyQgua1C1K,65
Global,5rBZF2fl4Avi4K0tvrQ0YF,151
Spain,7KbisO1P7V0UGrtpsdp1PC,47
Lithuania,2eMwDehkIC1j68U6FA3Eiq,15
Hong Kong,0DJBgBiYeSn6n1AXAkFVE8,144
Ecuador,6JqpFboOH2bq9pzaYbkKBn,42
Belgium,4WofdKO5C0u80rjjpQwmFf,164
Germany,4b7DRSar2SjP6TI2AVkb1D,88
Global,2vdposMtmLoanI0pflut4F,147
Philippines,4iJyoBOLtHqaGxP12qzhQI,1
Paraguay,7EWXP47VlXKO3r7mNxuWHw,55
Italy,7awUp2mRP7xjX9wBKhuwRu,1
South Africa,5VlTQnZO89Ioku8ssdbqJk,71
El Salvador,6NFyWDv5CjfwuzoCkw47Xf,60
Poland,0y7vLhFzjiIDa7z5D9RChG,166
Germany,29MUMRgt5eJa5YdZj4s7vT,32
Lithuania,3DKpA54hrFIdPN6AtL9HXa,56
Iceland,2gLg8iRrHWvhmyWc9fpLdC,29
Austria,2IKZkwHI5zsZf70STuhvOX,3
Estonia,4hJhHbkhZFnxmWbAkZRoe0,38
Dominican Republic,521nriIuNnVYGBSHACXlqY,139
France,7g0LY2NkJo9XLgd8Jl1gJU,103
Belgium,2Pvr8rYuh5J8V7QglJhH6W,56
Romania,2Grb4G6t9VIqo6moKUloom,92
France,26haJjtanhamtf25RXH0MO,151
Taiwan,0vKDmWnfzvjZ5KGjeNVPUv,121
Mexico,2LJRoFOtMGLnSxJqlJuhge,21
Iceland,1AGPmw3QJBNfOK6XioDhZp,61
Russian Federation,2qQ38Cb9l2Rwtj0vgxBGr4,40
United States,3H3r2nKWa3Yk5gt8xgmsEt,137
Spain,2uFaJJtFpPDc5Pa95XzTvg,25
United Kingdom,0tXPhc8LvM4dPvoRwI66XQ,46
Ecuador,1LPSkqVhWVRUkKE03YUkpB,195
Hungary,1Hmqe1oW9VVr5TKCoA5Hyl,70
United Arab Emirates,6qiiDtFAJjyEhoZVcf6ovL,71
Iceland,4RpQZ06LrV8rgaASDHhrao,130
Honduras,1tpfHx0Xd4wsnP5jfFzids,111
Austria,5UFbfXuj4TjirzmcvTFBBy,55
South Africa,44ADyYoY5liaRa3EOAl4uf,32
Denmark,4oy2Y7KpSVL01zfomkDdct,105
Sweden,6XlSyYFTU1nodeWwwzVgTV,76
Finland,0oKM2jqP59hZDD1S5jPdvr,17
Paraguay,2Gl0FzuLxflY6nPifJp5Dr,77
Hungary,2BM7nF0pMIpLQOT04o691Z,37
Global,15bnyEOUVRkwWlxR4F7xzF,143
Panama,5yJCrSdwrLFzboxg0z9xMd,150
Denmark,1a5E40KwIqddchTASgAaa5,124
United States,0P6AWOA4LG1XOctzaVu5tt,88
France,0FB15FRIstBTnCPpzXyNqz,48
Bulgaria,4VLTxHOyFX5FRtkpsFm5Pc,54
Germany,7bJ4mu7MHa3rHiNyKjOoSl,113
Latvia,5BQrp63SHCVf4bzCzJePne,10
Bulgaria,7F9cT6hIRhnFCYP6GKS0tf,28
Germany,4mLkiFppf8Xvem6BSY34qw,143
Dominican Republic,2L5mlgbojWmqfCQyt6sIoL,25
Israel,59UZF4zadjnRCDNmPaUo5P,121
Czech Republic,45OfR7ugJMgbFDuNOVpIq3,67
Morocco,5ry2OE6R2zPQFDO85XkgRb,12
Sweden,1hXxIhG7vUfwLlTh9imMST,152
Spain,3E2m5w07LVxrViLqkSI5x5,57
Saudi Arabia,6LnEoRQKMcaFTR5UvaKuBy,100
United Arab Emirates,1DNA2z7Txysjk3cNz2nDLm,163
Colombia,5XAaD9zvedfmgB3Mjm1B6j,188
Taiwan,3errULxUJsWssvWrskLeXH,158
United Kingdom,3calQ6T24KiVOWlRKr7rfl,185
Ireland,5p7GiBZNL1afJJDUrOA6C8,93
Norway,20dilZeCu4Q3F4I1fWFUqT,151
Morocco,6BGv9jfDAk0rucTsw0L04S,175
Egypt,3JR0ducCexKbeK47g6AHm5,19
Global,51ITVcACLrgOz44zlFVhk7,112
Morocco,3kxl1E1Y43M4vgckXfrSgk,40
France,0KWdQtL1drLuShFJbio07J,177
Guatemala,70w1mwTod6NgCNV6e7ZlIQ,197
Egypt,3J1FPWiMtDWYTLJoQ93bOd,119
Czech Republic,5EI1cqPIMT03bMSy2VDnqP,136
Ecuador,4QIo4oxwzzafcBWkKjDpXY,150
Colombia,3YxD0wSTC9vw2EXsSOmUsp,91
Germany,7BKLCZ1jbUBVqRi2FVlTVw,5
Nicaragua,55mzJ0LftLnef8sxAjrMkU,80
Guatemala,5HeKOKc4phmLn8e4I7EkzD,106
Germany,3a5qsP4xawpweFRXgzG6VP,48
